play,n
checkers,n
big,adj
drum,n
horse,n
who,pro:int
that,pro:dem
is,cop
those,pro:dem
are,cop
two,det:num
check,n
shall,mod
yes,co
I,pro:sub
help,v
you,pro:per
rig,n
horn,n
yeah,co
choo+choo,
train,n
yep,co
there,adv
water,n
right,adv
alright,co
look,co
tv,n
Jack,n:prop
part,n
Jill,n:prop
come,v
and,coord
take,v
get,v
suitcase,n
over,adv
Mommy,n:prop
want,v
to,inf
it,pro:per
to,prep
Ursula,n:prop
nickel,n
here,adv
Urler,chi
oh,co
thank_you,n
don't,mod
shadow,n
Adam,n:prop
foot,n
sounded,part
like,co
what,pro:int
did,mod
say,v
funny,adj
put,v
book,n
dirt,n
sit,v
up,adv
read,v
see,v
bear,n
ups_a_daisy,co
dropped,v
marching,n:gerund
your,det:poss
shoe,n
go,v
marching,part
where,adv:int
all,qn
the,det:art
children,n
Shadow,n:prop
are,aux
sitting,part
in,prep
their,det:poss
xxx,
chair,n
that's,pro:dem
tape,n
drop,n
bean,n
string,n
those,det:dem
no,co
he,pro:sub
checker,n
ate,v
his,det:poss
dinner,n
on,prep
this,pro:dem
what's,pro:int
table,n
last,adv
night,n
a,det:art
screw,n
some,qn
beans,n
do,mod
all,adv
Papa,n:prop
set,n
play,v
with,prep
them,pro:obj
Ursula's,n:prop
bunny+rabbit,
got,v
top,n
did,v
like,prep
like,conj
hm,co
Bambi,n:prop
like,v
we,pro:sub
deer,n
leave,v
looks,cop
down,adv
so,co
hurry,n
my,det:poss
will,mod
be,cop
running,part
out_of,prep
okay,co
way,n
rabbit,n
be,aux
out,prep
why,adv:int
whose,pro:rel
yourself,pro:refl
not,neg
Mr,n:prop
Bear,n:prop
picked,v
up,prep
too_man,chi
nails,n
just,adv
carried,v
spaghetti,n
of,prep
back,adv
machine,n
woods,n
name,n
terribly,adv
small,adj
no,qn
for,prep
happens,v
ride,v
stick,v
Monroe,n:prop
if,conj
he's,pro:sub
careful,co
well,co
find,v
they,pro:sub
Mott,n:prop
him,pro:obj
apple,n
that,pro:rel
juice,n
does,mod
is,aux
dancing,part
huh,co
dog,n
look,v
bit,v
touch,v
at,prep
me,pro:obj
then,adv:tem
hot,adj
tractor,n
toys,n
it's,pro:per
dog,v
basket,n
won't,mod
bitten,part
burn,v
nineteen,det:num
twelve,det:num
now,adv
pencil,n
paper,n
need,v
one,pro:indef
glove,n
they're,pro:sub
books,n
ball,n
have,v
penny,n
Cromer,n:prop
happen,v
where,pro:rel
from,prep
Daddy,
recorder,n
happened,v
Daddy,n:prop
piece,n
who's,pro:int
track,n
pocket,v
pick,v
three,det:num
whistle,n
can,mod
can't,mod
pocket,n
its,det:poss
together,adv
poor,adj
d,n:let
nine,det:num
ten,det:num
mouth,n
other,qn
four,det:num
she,pro:sub
needs,v
her,det:poss
let,v
eight,det:num
eleven,det:num
hit,v
fourteen,det:num
hole,n
cowboy,
wall,n
floor,n
you'll,pro:per
have_to,mod:aux
what,det:int
license,n
mine,pro:poss
number,v
makes,v
one,det:num
alright,adj
whistle,v
rug,n
pipe,n
pad,n
yours,pro:poss
hit,n
Mommy's,n:prop
hi,co
record,n
yellow,n
there's,pro:exist
shell,n
button,n
off,adv
tiger,n
end,n
lion,n
mhm,co
doing,part
hungry,adj
checking,part
clock,n
story,n
doing,n:gerund
ta,inf
watch,n
bath,n
Saggy,n:prop
Catherine,n:prop
Baggy,n:prop
Elephant,n:prop
make,v
noise,n
give,v
under,prep
going,part
I'm,pro:sub
write,v
afraid,adj
jelly,n
that's,pro:rel
might,mod
you're,pro:per
Colin,n:prop
get,aux
ask,v
stuck,part
about,prep
think,v
know,v
perhaps,adv
pictures,n
bye,co
school,n
later,adv
draw,v
again,adv
blow,v
Perro,n:prop
Mickey_Mouse,n:prop
pop,n
into,prep
using,part
dear,co
right,n
car,n
on,adv
hand,v
pen,n
drawing,n
morning,n
carry,v
buffalo,n
doggie,n
b,n:let
window,n
sill,n
hand,n
a,n:let
o,n:let
very,adv
pretty,adv
this,det:dem
pretty,adj
too_too,on
kangaroo,n
side,n
haha,co
mine,n
that,det:dem
red,adj
circus,n
tell,v
truck,n
who,pro:rel
yellow,adj
another,qn
had,v
cow,n
screwdriver,
baby,n
pig,n
Adam's,n:prop
drop,v
something,pro:indef
train,v
handle,n
taper,chi
knock,v
wite,chi
piece,v
boots,v
good,adj
next,adv
wash,n
how,adv:int
please,co
many,qn
hurt,v
knee,n
thought,v
were,aux
kind,n
these,pro:dem
her,pro:obj
next_to,prep
was,cop
coming,part
Cathy,n:prop
out,adv
walking,n:gerund
for,conj
maybe,adv
so,adv
ow,co
didn't,mod
diesel,n
locomotive,n
house,n
walking,part
moo,v
green,adj
step,n
box,n
green,n
fix,v
build,v
motor,n
step,v
too,post
an,det:art
baggage,n
open,adj
animal,n
screws,n
open,v
firetruck,
game,n
do,v
streamlined,part
purpose,n
show,n
coach,n
fall,n
doesn't,mod
streamline,v
Alvin,n:prop
sleeping,part
cup,n
Ursula,
busy,adj
yyy,
bulldozer,n
which,pro:rel
walk,n
cork,n
dining,part
street,n
light,n
modern,adj
sting,n
steam,n
getting,part
looks,v
ears,n
more,pro:indef
letter,n
made,v
f,n:let
taking,part
electric,adj
finished,part
awoh,co
looking,part
finished,v
beetle,n
saggy,adj
switcher,n
baggy,adj
elephant,n
rotary,adj
beetles,n
snow,n
plow,n
does,v
tickle,n
color,n
ear,n
flat,adj
show,v
lost,v
piggie,n
red,n
mail,n
white,adj
face,n
or,coord
hop,n
tank,n
grapefruit,
who's,pro:rel
Perry,n:prop
around,adv
well,n
slip,v
turn,n
caboose,n
sweep,n
broom,n
turn,v
so,conj
grandfather,n
pencils,n
broken,part
caught,v
puppy,n
gave,v
went,v
yesterday,adv:tem
crying,part
dripping,part
man,n
kitty,n
grocery,n
down,prep
store,n
round,adv
heavy,adj
Ursla,n:prop
brush,n
egg,n
spank,v
seal,n
little,adj
eat,v
seed,n
move,n
candy,n
really,adv
brush,v
goes,v
move,v
else,post
Bunny_Rabbit,n:prop
ice+cream,
writing,n:gerund
jack+o+lantern,
writing,part
strong,adj
Smith,n:prop
faster,adj
eating,n:gerund
am,aux
keep,v
as,prep
somebody,pro:indef
pennies,n
mine's,n
lemon,n
washer,n
cold,n
bunny+rabbit's,
road,n
before,conj
wet,part
page,n
animals,n
talk,n
tunnel,n
just,adj
snowing,part
airplane,n
leave,n
eating,part
bench,n
hear,v
but,conj
off,prep
bed,n
may,mod
bit,n
penguin,n
tear,v
said,v
outside,adv
could,mod
last,adj
glue,n
wouldn't,mod
what,
much,adv
bigger,adj
is,
thank_you,co
you'd,pro:per
than,prep
forgotten,part
Momma,n:prop
in,adv
cap,n
hahaha,n
I'd,pro:sub
pocketbook,
rather,adv
Christmas,n:prop
hoho,co
remember,v
potato,n
ho,co
knock,n
place,n
back,n
tiny,adj
was,aux
called,part
careful,adj
call,n
anything,pro:indef
zoo,n
seen,part
everything,pro:indef
tatoo,n
miss,n
sat,v
parrot,n
playing,part
been,aux
turkey,n
picture,n
before,adv
pine,n
practicing,part
gone,part
booking,chi
saw,v
belongs,v
pie,n
started,part
being,n
particular,adj
about,adv
saying,part
driving,part
tricycle,n
pull,v
Pluto,n:prop
roadgrader,n
sorry,co
excuse,n
men,n
turning,part
lamb,n
tease,n
wasn't,cop
turned,v
boo+boo,
properly,adv
baa,on
refrigerator,n
too,adv
punching,part
says,v
mean,v
came,v
there,pro:exist
teasing,part
fall,v
excuse,v
sardines,n
sardine,n
teaching,part
uhhuh,co
hammer,n
peekaboo,v
tease,v
push,v
sarbaby,wplay
stop,n
push,n
Cromer's,n:prop
wants,v
she'll,pro:sub
broke,v
let's,v
bite,v
pinwheel,
silly,co
mustn't,mod
peekaboo,co
home,n
boo,co
blow,n
nose,n
one's,pro:indef
when,conj
large,n
jack+in+the+box,
boy,n
tow,n
pinwheels,
balls,n
guess,v
pin,n
block,n
squeak,v
don't,
going,n:gerund
lunch,n
toy,n
fire,n
hydrant,n
well,adv
miss,v
time,v
light,adj
too_too,chi
isn't,cop
shoes,n
either,adv
pretend,adj
sandwich,n
trash,n
flower,n
ding+dong,
bell,n
lots_of,qn
boot,n
pushing,part
Bozo,n:prop
boots,n
squeak,n
door,n
broke,adj
drink,v
milk,v
honey,n
derrick,n
t,n:let
squeeze,v
tired,part
Mama,n:prop
coffee,n
fit,v
can,n
own,adj
needle,n
opener,adj
tired,v
fits,v
horses,n
crane,n
want,
Chatter,n:prop
bag,n
some,
oh_my_goodness,co
matter,v
meow,on
early,adv
matter,n
over,prep
tools,n
look,cop
work,v
nose,v
doughnut,n
Tony,n:prop
corral,n
bring,v
today,adv:tem
old,adj
time,n
Jesus,n:prop
fell,v
board,n
pail,n
brought,v
doughnuts,n
sorry,adj
sun,n
ticklish,adj
new,adj
word,n
sky,n
reel,n
has,v
walk,v
Butch,n:prop
figure,v
ready,v
right,adj
microphone,n
opened,v
tracks,n
switch,n
Humpty,n:prop
sitting,n:gerund
briefcase,n
Dumpty,n:prop
l,n:let
fight,v
Humpty_Dumpty,n:prop
tricks,n
hat,n
around,prep
trick,n
cheek,n
down,n
rattle,n
trains,n
Bozo's,n:prop
spanked,v
finger,n
Humpty_Dumpty's,n:prop
way,adv
mouth,meta
candle,n
brushing,part
air,n
first,adv
plays,v
baby's,n
bow,n
stick,n
hold,v
arrow,n
clown,n
would,mod
we'll,pro:sub
awfully,adv
smart,adj
under,adv
map,n
Butch's,n:prop
tricks,v
boot,v
bike,n
all_gone,co
tongue,n
building,n
laughing,part
goodbye,co
Texaco,n:prop
star,n
buy,n
milk,n
opener,n
Rusty,n:prop
throw,v
sword,n
remember,co
learn,v
stars,n
rode,v
belong,v
cane,n
head,n
Scotch,n:prop
Humptyz_Dumpty,n:prop
self,n
fishing,part
rod,n
Rusty's,n:prop
ride,n
take,meta
cider,n
press,v
taxi,n
pressing,part
looking,n:gerund
blue,n
cut,v
blue,adj
corn,n
kick,v
rocks,n
people,n
tippy+toes,
squeeze,n
rock,n
tail,n
hard,adv
fish,n
Chicken_Little,n:prop
horse's,n
TRUE,adj
shame,v
shame,n
rattles,n
talk,v
baseball,n
first,adj
pumpkin,n
stuck,v
rope,n
nail,n
Popeye,n:prop
nice,adj
bite,n
watch,v
outside,n
zip,v
doggie's,n
change,n
diaper,n
m,n:let
change,v
zipper,v
stepped,part
you've,pro:per
never,adv
set,v
kitty's,n
close,v
Perro's,n:prop
dirty,adj
neck,n
fright,n
tippy+toe,
night_night,co
always,adv
leaves,v
spider,n
he'd,pro:sub
sticks,v
spider,meta
records,n
Pembroke,n:prop
spelling,part
wait,v
minute,n
muffin,n
shovel,n
already,adv
chocolate,n
put,part
magazine,n
excused,part
spill,v
kitto,wplay
wear,v
fight,n
where's,adv:int
fighting,part
managed,v
pot,n
kitten,n
live,adj
manage,v
color,v
sir,n
yet,adv
dump,n
spills,v
even,v
warm,adj
Tuffy,n:prop
circle,n
o'clock,n
it,
okay,adj
wanted,v
crop,v
having,part
feet,n
trucks,n
more,qn
sugar,n
shiny,adj
belt,n
coat,n
buy,v
top,adj
drink,n
hang,v
belt,v
do,
shopping,part
my,co
bird,n
hopping,part
by,prep
Missouri,n:prop
jump,
jump,n
ladder,n
rocking,part
fit,part
back,adj
corner,n
squirrel,n
napkins,n
giving,part
here's,pro:exist
cranberry,n
label,n
cranberry,meta
holler,v
paste,v
anymore,adv
squirrels,n
song,n
ropes,n
see,co
birdie,n
roller,n
stand,v
were,cop
spell,v
pink,adj
some,pro:indef
try,v
as,adv
racket,n
rocket,n
shoot,co
beside,prep
moon,n
toes,n
writes,v
clips,n
wears,v
making,part
hurts,v
stay,n
Shadow_Gay,n:prop
seat,n
scissors,n
Donald_Duck,n:prop
safety,n
trailer,n
bringing,part
woof,on
name,v
plugs,n
won,v
orange,adj
orange,n
Kentucky,n:prop
Derby,n:prop
I,
Donz_Duck,n:prop
bumble,v
tree,n
cords,n
beat,n
heard,v
wheel,n
have,
cut,n
cord,n
Donald,n:prop
c,n:let
Duck,n:prop
wheels,n
pillow,n
use,v
bee,n
spur,n
Pinocchio,n:prop
I'll,pro:sub
hello,co
sleep,n
beat,v
hello,n
talking,part
plug,n
setting,part
ready,adj
Pinnochio,n:prop
means,v
use,n
iss,chi
fun,n
sinking,part
horsie,n
um,
aren't,aux
suit,n
slowly,adv
ashamed,adj
chipmunks,n
Captain,n:prop
wagon,n
sweet,adj
break,v
Bob,
Bob,n:prop
sea,n
dipping,n:gerund
bus,n
vat,n
dipping,part
pajamas,n
putting,part
blocks,n
ever,adv
thread,n
shaped,part
deep,n
hunm,co
dark,n
where's,pro:rel
purple,adj
oop,chi
watching,part
shake,n
hands,v
fine,n
fine,adv
what're,pro:int
go,
better,adj
matches,v
shouldn't,mod
keys,n
nothing,pro:indef
somewhere,adv
grass,n
without,prep
matches,n
before,prep
puzzle,n
supper,n
either,coord
dig,v
kitties,n
cowboy's,
key,n
tickling,part
kissing,part
Daddy's,n:prop
myself,pro:refl
test,n
inside,adv
lucky,adj
sleep,v
dinosaur,n
because,conj
lap,n
anyplace,adv
I've,pro:sub
heard,part
flew,v
daisy,n
any,qn
likes,v
radio,n
players,n
program,n
espresso,n
surprise,adj
knocked,v
play,
momma,n
slipper,n
hop,v
painting,part
sand,n
mommy,n
brown,v
wrote,v
bunny,n
surprise,n
player,n
hanger,n
boat,n
caught,
holes,n
catch,v
mommy's,n
my,
hangers,n
five,det:num
six,det:num
drinking,part
seven,det:num
notebook,n
goat,n
spurs,n
wipe,n
spoon,n
nobody,pro:indef
cake,n
brief,adj
case,n
jeep,n
giraffe,n
mosquito,n
spilled,v
spoon,v
raining,part
beaver,n
hands,n
beavers,n
drinks,n
in,
brown,adj
couch,n
napkin,n
neither,coord
shampoo,n
u,n:let
p,n:let
pinch,v
shampoo,v
eats,v
dressing,part
quiet,n
salad,n
clippers,n
gonna,mod:aux
raining,n:gerund
inside,adj
wait,co
wing,n
missed,v
roping,n:gerund
world,n
got,part
minutes,n
Easter,n:prop
thing,n
get,
got,
fly,n
simply,adv
desk,n
apart,adv
e,n:let
bok,chi
stop,v
squashed,part
hanging,part
shining,part
squ,
pounce,v
sun's,n
has,aux
wings,n
kittens,n
jeans,n
gas,v
photograph,n
exercise,n
cloudy,adj
Greenjeans,n:prop
all_gone,adj
found,v
bucket,n
opens,v
number,n
sizing,part
day,n
airport,n
enough,adj
exercising,part
thank,v
remembering,part
week,n
all,pro:indef
welcome,adj
sudden,n
Adams,n:prop
drawing,part
sun,v
picking,part
hey,co
purple,n
mailing,part
size,n
fireman,
got,aux
news,n
tickled,part
our,det:poss
steps,n
reach,n
pieces,n
no,
Thursday,n:prop
fuse,n
sock,n
soup,n
Jiminy,n:prop
Cricket,n:prop
healthy,adj
after,prep
screws,v
work,n
na,bab
take,
reach,v
purse,n
brother,n
momma's,n
more,adv
that's,
touching,part
more,
elbow,n
milk,
coffee,
push,
moving,part
oop,co
van,n
power,n
glass,n
right,co
ginger,n
a,
ale,n
arm,n
tickled,v
gun,n
achoo,on
gasoline,n
much,qn
pen,v
tugboat,n
games,n
fellow,adj
metal,n
fellow,n
plays,n
all,post
qua,
works,v
shoot,n
loud,adj
mean,adj
Wheaties,n:prop
stepping,n:gerund
us,pro:obj
parts,n
soxy,chi
sure,adj
soxer,chi
sure,
boy's,n
long,adj
dollars,n
part,adj
duck,n
chalk,n
buckets,n
Joshua,n:prop
tick,n
shirt,n
tick+tock,
goose,n
riding,n:gerund
soccer,n
screw,v
near,prep
wind,v
ahhah,co
Joshua's,n:prop
Captain_Kangaroo,n:prop
riding,part
unicycle,n
welcome,n
from,
getting,n:gerund
Pablo,n:prop
wee_wee,on
Picasso,n:prop
high,n
still,adv
waving,part
Rin_tin_tin,n:prop
Joey,n:prop
Paul,n:prop
enough,adv
blocks,v
cry,v
trying,part
been,cop
waiting,n:gerund
send,v
fold,v
ouch,n
windmill,n
pliers,n
pliers,n:pt
she's,pro:sub
roses,n
coffee's,n
waiting,part
against,adv
stirs,v
fun,adj
card,n
truck's,n
pillows,n
peoples,n
list,n
chimney,n
another,pro:indef
almost,adv
fun,
clowns,n
still,adj
getting,
comfortably,adv
missing,part
pies,n
something's,pro:indef
wrote,
while,n
kids,v
out,
bucket's,n
fork,n
factory,n
dumping,n:gerund
listen,v
pony,n
shell,v
should,mod
dumping,part
tomorrow,adv:tem
pony's,n
uses,v
tie,n
exercising,n:gerund
cranberries,n
paint,n
plums,n
newspaper,n
Cecile,n:prop
plum,n
hitting,part
markings,n:gerund
exercises,n
tie,v
seal,n:prop
that,
yes,
spell,
spell,n
say,
knees,n
busses,n
spells,n
you,
to,
tummy,n
rubberband,
shovel,v
let,
must,mod
fine,adj
pumping,part
pants,n:pt
pom,on
slippery,adj
everybody,pro:indef
sidewalk,n
filing,part
probably,adv
stir,v
flag,n
stopped,v
things,n
nope,co
cries,v
being,n:gerund
